# run=2026-09-23_1034  universe=1139  cache_hit=47.7%  price_stale=38/1139  fetch_failed=11/1139
ticker,quality_flag,ready_to_buy_excluded,target_upside,turn_state,eps_rev_90d,eps_rev_30d,debtToEquity,fcf_margin,profitMargins,survivability,price_above_ma50,pct_change_1mo,sector
JHX,LOW,LOW_QUALITY,28.8%,WATCH,-5.77,1.04,69.14,0.14,0.03,48.70,False,-10.1%,Basic Materials
XEL,SPECULATIVE,SPECULATIVE,28.6%,FALLING_KNIFE,0.19,-0.01,173.13,-0.18,0.15,28.50,False,-6.9%,Utilities
JLL,LOW,LOW_QUALITY,28.6%,FALLING_KNIFE,8.82,0.56,42.35,0.10,0.04,47.80,False,-14.6%,Real Estate
ASTS,SPECULATIVE,SPECULATIVE,28.5%,WATCH,-70.10,-60.51,124.86,-0.07,0.00,17.60,False,-9.7%,Technology
MCD,LOW,LOW_QUALITY,28.5%,FALLING_KNIFE,-1.91,-0.37,,0.04,0.32,85.00,False,-11.6%,Consumer Cyclical
SCI,LOW,LOW_QUALITY,28.1%,FUNDAMENTALS_READY_PRICE_FALLING,0.97,0.00,344.86,0.03,0.12,29.00,False,-6.0%,Consumer Cyclical
SIRI,LOW,LOW_QUALITY,27.7%,FALLING_KNIFE,-2.76,0.47,81.11,0.14,0.10,48.90,False,-9.3%,Communication Services
SBS,SPECULATIVE,SPECULATIVE,27.7%,WATCH,-22.02,-10.00,114.01,-0.34,0.20,39.80,True,14.4%,Utilities
FWONA,SPECULATIVE,SPECULATIVE,27.7%,WATCH,-5.09,-1.78,59.88,0.03,0.06,45.00,False,-9.9%,Communication Services
ST,LOW,LOW_QUALITY,27.7%,FUNDAMENTALS_READY_PRICE_FALLING,1.23,-0.01,82.60,0.08,0.02,38.30,False,-2.5%,Technology
SRE,SPECULATIVE,SPECULATIVE,27.3%,WATCH,-0.03,-0.04,84.66,-0.53,0.17,41.70,False,-4.2%,Utilities
NI,SPECULATIVE,SPECULATIVE,27.0%,FALLING_KNIFE,0.44,-0.06,146.65,-0.09,0.13,27.00,False,-3.4%,Utilities
GPK,SPECULATIVE,SPECULATIVE,27.0%,WATCH,-4.60,-3.74,176.15,0.08,0.02,18.80,False,-18.4%,Consumer Cyclical
DTE,SPECULATIVE,SPECULATIVE,26.8%,FALLING_KNIFE,0.15,-0.02,229.06,-0.10,0.08,17.90,False,-8.8%,Utilities
HONA,SPECULATIVE,SPECULATIVE,26.7%,WATCH,,-1.22,,,0.11,44.40,False,0.4%,Industrials
FWONK,SPECULATIVE,SPECULATIVE,26.5%,WATCH,-7.91,4.17,59.88,0.03,0.06,45.00,False,-9.8%,Communication Services
BG,SPECULATIVE,SPECULATIVE,26.4%,FALLING_KNIFE,3.45,-0.70,98.00,-0.30,0.01,20.00,False,-0.8%,Consumer Defensive
NEE,SPECULATIVE,SPECULATIVE,26.3%,FALLING_KNIFE,-0.12,-0.41,161.68,-0.11,0.32,36.70,False,-7.0%,Utilities
TPL,SPECULATIVE,SPECULATIVE,26.2%,WATCH,2.40,7.77,1.08,-0.00,0.60,76.50,False,-8.5%,Energy
NVST,LOW,LOW_QUALITY,26.1%,EARLY_TURN,5.98,-0.08,51.62,0.07,0.03,39.60,False,-11.5%,Healthcare
BUD,LOW,LOW_QUALITY,26.0%,FALLING_KNIFE,1.23,0.14,71.88,0.07,0.15,63.30,False,-2.3%,Consumer Defensive
